func,algo,run,best_f,seconds
F12022,HHO,13,3.7694945253e+02,0.20
F12022,HHO,14,3.6403579794e+02,0.19
F12022,HHO,15,3.6416486137e+02,0.19
F12022,HHO,16,9.3953134848e+02,0.21
F12022,HHO,17,1.3521522224e+03,0.20
F12022,HHO,18,1.1657539532e+03,0.20
F12022,HHO,19,7.7587892632e+02,0.19
F12022,HHO,20,3.7757345680e+02,0.19
F12022,HHO,21,4.9078073061e+02,0.19
F12022,HHO,22,3.9880930859e+02,0.20
F12022,HHO,23,5.4465334912e+02,0.20
F12022,HHO,24,3.4271534217e+02,0.19
F12022,HHO,25,1.3118536339e+03,0.19
F12022,HHO,26,5.1959503332e+02,0.20
F12022,HHO,27,4.4462862640e+02,0.20
F12022,HHO,28,3.9457518205e+02,0.19
F12022,HHO,29,6.5475627483e+02,0.20
F12022,RIME,0,3.0093256894e+02,0.31
F12022,RIME,1,3.0199629481e+02,0.30
F12022,RIME,2,3.0131470960e+02,0.30
F12022,RIME,3,3.0112869679e+02,0.29
F12022,RIME,4,3.0030233978e+02,0.31
F12022,RIME,5,3.0229674156e+02,0.29
F12022,RIME,6,3.0042393469e+02,0.29
F12022,RIME,7,3.0110446486e+02,0.30
F12022,RIME,8,3.0135747935e+02,0.31
F12022,RIME,9,3.0033548358e+02,0.30
F12022,RIME,10,3.0055047689e+02,0.30
F12022,RIME,11,3.0082238106e+02,0.31
F12022,RIME,12,3.0107529499e+02,0.30
F12022,RIME,13,3.0129669098e+02,0.30
F12022,RIME,14,3.0111684705e+02,0.30
F12022,RIME,15,3.0034761997e+02,0.31
F12022,RIME,16,3.0109728178e+02,0.30
F12022,RIME,17,3.0046139410e+02,0.30
F12022,RIME,18,3.0089527603e+02,0.32
F12022,RIME,19,3.0045771980e+02,0.30
F12022,RIME,20,3.0174886350e+02,0.30
F12022,RIME,21,3.0123257298e+02,0.29
F12022,RIME,22,3.0141306872e+02,0.30
F12022,RIME,23,3.0048255433e+02,0.30
F12022,RIME,24,3.0095522418e+02,0.31
F12022,RIME,25,3.0099271788e+02,0.31
F12022,RIME,26,3.0327679142e+02,0.31
F12022,RIME,27,3.0140307201e+02,0.31
F12022,RIME,28,3.0096402113e+02,0.31
F12022,RIME,29,3.0145488136e+02,0.30
F22022,MSBKA,0,4.5828946898e+02,0.34
F22022,MSBKA,1,4.0408773754e+02,0.34
F22022,MSBKA,2,4.0699626141e+02,0.34
F22022,MSBKA,3,4.4203354825e+02,0.34
F22022,MSBKA,4,4.1536651711e+02,0.33
