func,algo,run,best_f,seconds
F52017,SBOA-ERM,20,5.0000002215e+02,2.24
F52017,SBOA-ERM,21,5.0000000007e+02,2.37
F52017,SBOA-ERM,26,5.0000000265e+02,2.23
F52017,SBOA-ERM,27,5.0000000008e+02,2.22
F52017,SBOA-ERM,28,5.0000001944e+02,2.31
F52017,SBOA-ERM,29,5.0000011530e+02,2.28
F52017,SBOA-ERM,22,5.0000027051e+02,2.32
F52017,SBOA-ERM,23,5.0000007414e+02,2.34
F52017,SBOA-ERM,24,5.0000007176e+02,2.52
F52017,SBOA-ERM,25,5.0000004557e+02,2.33
F52017,GWO,0,5.0001219963e+02,2.60
F52017,GWO,1,5.0001041171e+02,2.58
F52017,GWO,2,5.0001566045e+02,2.72
F52017,GWO,3,5.0001291748e+02,2.53
F52017,GWO,4,5.0000965520e+02,2.54
F52017,GWO,5,5.0002033985e+02,2.53
F52017,GWO,6,5.0000880775e+02,2.55
F52017,GWO,7,5.0001642883e+02,2.55
F52017,GWO,8,5.0001077072e+02,2.57
F52017,GWO,9,5.0000950473e+02,2.58
F52017,GWO,10,5.0001552810e+02,2.57
F52017,GWO,11,5.0000720936e+02,2.55
F52017,GWO,12,5.0000613134e+02,2.63
F52017,GWO,13,5.0001804721e+02,2.62
F52017,GWO,14,5.0001102382e+02,2.70
F52017,GWO,15,5.0001367135e+02,2.59
F52017,GWO,16,5.0000598475e+02,2.54
F52017,GWO,17,5.0001564243e+02,2.56
F52017,GWO,18,5.0000816208e+02,2.71
F52017,GWO,19,5.0001542624e+02,2.62
F52017,GWO,20,5.0000706413e+02,2.55
F52017,GWO,21,5.0001430092e+02,2.64
F52017,GWO,22,5.0001079750e+02,2.57
F52017,GWO,23,5.0001067922e+02,2.57
F52017,GWO,28,5.0000851374e+02,2.61
F52017,GWO,29,5.0000679490e+02,2.60
F52017,WOA,0,5.0002061324e+02,2.16
F52017,WOA,1,5.0003070403e+02,2.12
F52017,GWO,24,5.0000935704e+02,2.57
F52017,GWO,25,5.0001252971e+02,2.56
F52017,GWO,26,5.0001265995e+02,2.62
F52017,GWO,27,5.0001186088e+02,2.58
F52017,WOA,2,5.0003418553e+02,2.04
F52017,WOA,3,5.0001837680e+02,2.04
F52017,WOA,4,5.0005049141e+02,2.14
F52017,WOA,5,5.0001186705e+02,2.05
F52017,WOA,6,5.0001898933e+02,2.06
F52017,WOA,7,5.0003335027e+02,2.03
F52017,WOA,8,5.0002586413e+02,2.10
F52017,WOA,9,5.0000885003e+02,2.05
F52017,WOA,10,5.0005401319e+02,2.13
F52017,WOA,11,5.0003727000e+02,2.06
F52017,WOA,12,5.0002359907e+02,2.09
F52017,WOA,13,5.0002016750e+02,2.11
F52017,WOA,14,5.0001461554e+02,2.06
F52017,WOA,15,5.0002031188e+02,2.04
F52017,WOA,16,5.0002947964e+02,2.11
F52017,WOA,17,5.0002024978e+02,2.07
F52017,WOA,18,5.0002279633e+02,2.08
F52017,WOA,19,5.0003435855e+02,2.07
F52017,WOA,20,5.0002225364e+02,2.08
F52017,WOA,21,5.0003106139e+02,2.17
F52017,WOA,22,5.0001222780e+02,2.55
F52017,WOA,23,5.0001659661e+02,2.38
F52017,WOA,24,5.0002605349e+02,2.21
F52017,WOA,25,5.0000600131e+02,2.27
F52017,WOA,26,5.0003080389e+02,2.53
F52017,WOA,27,5.0002078455e+02,2.31
F52017,WOA,28,5.0001557460e+02,2.29
F52017,WOA,29,5.0003145652e+02,2.22
F52017,SCA,0,5.0002713206e+02,3.24
F52017,SCA,1,5.0002772678e+02,2.42
F52017,SCA,2,5.0002916305e+02,2.52
F52017,SCA,3,5.0001873959e+02,2.36
