algo,lam,run,objective,risk,return
SBOA,0.45,0,-3.8891118576e-03,3.1153733293e-03,9.6200542832e-03
SBOA,0.45,1,-3.9078017628e-03,3.1141112878e-03,9.6530033496e-03
SBOA,0.45,2,-3.9026090546e-03,3.1276750743e-03,9.6546597055e-03
SBOA,0.45,3,-3.9100011594e-03,3.1211513622e-03,9.6627623135e-03
SBOA,0.45,4,-3.9025325698e-03,3.1210125838e-03,9.6490695137e-03
SBOA,0.50,0,-3.3018736729e-03,2.4629807888e-03,9.0667281347e-03
SBOA,0.50,1,-3.3037771691e-03,2.4603128177e-03,9.0678671559e-03
SBOA,0.50,2,-3.3037389513e-03,2.4613185445e-03,9.0687964471e-03
SBOA,0.50,3,-3.3035520617e-03,2.4614395979e-03,9.0685437213e-03
SBOA,0.50,4,-3.3039806097e-03,2.4599839865e-03,9.0679452059e-03
SBOA,0.55,0,-2.7519406768e-03,2.0168550172e-03,8.5804687471e-03
SBOA,0.55,1,-2.7498974837e-03,2.0163746016e-03,8.5753411435e-03
SBOA,0.55,2,-2.7504569558e-03,2.0200383195e-03,8.5810622921e-03
SBOA,0.55,3,-2.7495980350e-03,2.0173543769e-03,8.5758732052e-03
SBOA,0.55,4,-2.7515895933e-03,2.0167144073e-03,8.5795167051e-03
SBOA,0.60,0,-2.2367541194e-03,1.7140073652e-03,8.1628963464e-03
SBOA,0.60,1,-2.2398861282e-03,1.7075484768e-03,8.1610380357e-03
SBOA,0.60,2,-2.2396771405e-03,1.7068929158e-03,8.1595322250e-03
SBOA,0.60,3,-2.2400311967e-03,1.7079211226e-03,8.1619596757e-03
SBOA,0.60,4,-2.2401419756e-03,1.7079346359e-03,8.1622568929e-03
SBOA,0.65,0,-1.7654482477e-03,1.4351225680e-03,7.7093654769e-03
SBOA,0.65,1,-1.7642167512e-03,1.4335307709e-03,7.7028907209e-03
SBOA,0.65,2,-1.7652529107e-03,1.4339598118e-03,7.7066479668e-03
SBOA,0.65,3,-1.7654515713e-03,1.4348795937e-03,7.7089237349e-03
SBOA,0.65,4,-1.7654614084e-03,1.4352160696e-03,7.7095767247e-03
SBOA,0.70,0,-1.3221401791e-03,1.2537802918e-03,7.3326212779e-03
SBOA,0.70,1,-1.3222598003e-03,1.2545565151e-03,7.3348312029e-03
SBOA,0.70,2,-1.3225975120e-03,1.2548191808e-03,7.3365697951e-03
SBOA,0.70,3,-1.3216941462e-03,1.2546897066e-03,7.3332564694e-03
SBOA,0.70,4,-1.3225936094e-03,1.2548594640e-03,7.3366507806e-03
SBOA,0.75,0,-9.0433274326e-04,1.1274844458e-03,6.9997843105e-03
SBOA,0.75,1,-9.0145362076e-04,1.1238364349e-03,6.9773237876e-03
SBOA,0.75,2,-9.0445646429e-04,1.1278348720e-03,7.0013304732e-03
SBOA,0.75,3,-9.0452339179e-04,1.1279102747e-03,7.0018243912e-03
SBOA,0.75,4,-8.9792267505e-04,1.1214914786e-03,6.9561651360e-03
SBOA,0.80,0,-5.0988515737e-04,9.9324896149e-04,6.5224216328e-03
