dataset,algo,run,objective,risk,return
1,SBOA,29,-3.3007217599e-03,2.4661903001e-03,9.0676338199e-03
2,SBOA,0,-3.9871092939e-03,9.1673173111e-04,8.8909503188e-03
2,SBOA,1,-3.9901903508e-03,9.1903709238e-04,8.8994177939e-03
2,SBOA,2,-3.9889379688e-03,9.1787748934e-04,8.8957534269e-03
2,SBOA,3,-3.9900322808e-03,9.1894206119e-04,8.8990066229e-03
2,SBOA,4,-3.9892327057e-03,9.1811174894e-04,8.8965771603e-03
2,SBOA,5,-3.9871653261e-03,9.1628633338e-04,8.8906169856e-03
2,SBOA,6,-3.9595883913e-03,9.1652842668e-04,8.8357052094e-03
2,SBOA,7,-3.9837392221e-03,9.1552252887e-04,8.8830009731e-03
2,SBOA,8,-3.9888848986e-03,9.1724573546e-04,8.8950155326e-03
2,SBOA,9,-3.9870676271e-03,9.1689343931e-04,8.8910286935e-03
2,SBOA,10,-3.9869020985e-03,9.1559404443e-04,8.8893982414e-03
2,SBOA,11,-3.9894922060e-03,9.1818824197e-04,8.8971726539e-03
2,SBOA,12,-3.9885165054e-03,9.1788701437e-04,8.8949200251e-03
2,SBOA,13,-3.9881936946e-03,9.1690325269e-04,8.8932906418e-03
2,SBOA,14,-3.9851404293e-03,9.1454831963e-04,8.8848291782e-03
2,SBOA,15,-3.9852994524e-03,9.1542285836e-04,8.8860217631e-03
2,SBOA,16,-3.9865136342e-03,9.1787059496e-04,8.8908978633e-03
2,SBOA,17,-3.9785206398e-03,9.1477709076e-04,8.8718183703e-03
2,SBOA,18,-3.9841851935e-03,9.1393741286e-04,8.8823077999e-03
2,SBOA,19,-3.9846598784e-03,9.1410836329e-04,8.8834281201e-03
2,SBOA,20,-3.9849900677e-03,9.1485290491e-04,8.8848330403e-03
2,SBOA,21,-3.9900965099e-03,9.1898828267e-04,8.8991813024e-03
2,SBOA,22,-3.9889497095e-03,9.1733130191e-04,8.8952307208e-03
2,SBOA,23,-3.9867623899e-03,9.1638053163e-04,8.8899053115e-03
2,SBOA,24,-3.9881605261e-03,9.1722573997e-04,8.8935467921e-03
2,SBOA,25,-3.9862208196e-03,9.1590631062e-04,8.8883479498e-03
2,SBOA,26,-3.9884961512e-03,9.1760554318e-04,8.8945978456e-03
2,SBOA,27,-3.9886340375e-03,9.1777138507e-04,8.8950394602e-03
2,SBOA,28,-3.9835976993e-03,9.1415628915e-04,8.8813516877e-03
2,SBOA,29,-3.9867871915e-03,9.1582299243e-04,8.8893973754e-03
3,SBOA,0,-3.3230244478e-03,1.1910986588e-03,7.8371475543e-03
3,SBOA,1,-3.3222433504e-03,1.1953362150e-03,7.8398229158e-03
3,SBOA,2,-3.3231645835e-03,1.1914595437e-03,7.8377887107e-03
3,SBOA,3,-3.3229006545e-03,1.1914262614e-03,7.8372275705e-03
3,SBOA,4,-3.3223898409e-03,1.1905888487e-03,7.8353685305e-03
3,SBOA,5,-3.2748214534e-03,1.0700899904e-03,7.6197328973e-03
3,SBOA,6,-3.3229179744e-03,1.1917527256e-03,7.8375886743e-03
3,SBOA,7,-3.3223142348e-03,1.1955289288e-03,7.8401573985e-03
3,SBOA,8,-3.3231935068e-03,1.1915868188e-03,7.8379738325e-03
3,SBOA,9,-3.2700494971e-03,1.0621447683e-03,7.6022437625e-03
3,SBOA,10,-3.3229084199e-03,1.1914063307e-03,7.8372231705e-03
3,SBOA,11,-3.3231402258e-03,1.1915059441e-03,7.8377863957e-03
3,SBOA,12,-3.3231674559e-03,1.1915233176e-03,7.8378582293e-03
3,SBOA,13,-3.3222483710e-03,1.1954291470e-03,7.8399258889e-03
3,SBOA,14,-3.3227336147e-03,1.1908211036e-03,7.8362883330e-03
3,SBOA,15,-3.3227635320e-03,1.1918990881e-03,7.8374261522e-03
3,SBOA,16,-3.1373330235e-03,7.6421507074e-04,7.0388811177e-03
3,SBOA,17,-3.2536519622e-03,1.2457593567e-03,7.7530632811e-03
3,SBOA,18,-3.3066980732e-03,1.1958945570e-03,7.8092907033e-03
3,SBOA,19,-3.3231959730e-03,1.1915328030e-03,7.8379247490e-03
3,SBOA,20,-3.3228516453e-03,1.1910205933e-03,7.8367238838e-03
3,SBOA,21,-3.3225971061e-03,1.1905468317e-03,7.8357410438e-03
3,SBOA,22,-3.3232027573e-03,1.1915119097e-03,7.8379174242e-03
3,SBOA,23,-3.3231326394e-03,1.1914585923e-03,7.8377238710e-03
3,SBOA,24,-3.3230531053e-03,1.1914271309e-03,7.8375333415e-03
3,SBOA,25,-3.3231710586e-03,1.1915449132e-03,7.8378870303e-03
3,SBOA,26,-3.3177248694e-03,1.1926677450e-03,7.8281174838e-03
3,SBOA,27,-3.3223733469e-03,1.1959769728e-03,7.8407236667e-03
3,SBOA,28,-3.3227621981e-03,1.1917603970e-03,7.8372847932e-03
3,SBOA,29,-3.3231132862e-03,1.1915221134e-03,7.8377486858e-03
5,MSSBOA,24,-1.3390002399e-03,7.1035199063e-04,3.3883524704e-03
5,MSSBOA,25,-1.3582775013e-03,7.0037915908e-04,3.4169341616e-03
5,MSSBOA,26,-1.3290943327e-03,7.1482570141e-04,3.3730143668e-03
5,MSSBOA,27,-1.2939929058e-03,7.2462566455e-04,3.3126114762e-03
4,SBOA,4,-3.5932413757e-03,1.2294306845e-03,8.4159134358e-03
4,SBOA,5,-3.5370068420e-03,1.0949278229e-03,8.1689415070e-03
4,SBOA,6,-3.5406167368e-03,1.1188751271e-03,8.2001086007e-03
4,SBOA,7,-3.5847725384e-03,1.2066515867e-03,8.3761966635e-03
4,SBOA,0,-3.5124416375e-03,1.0389430388e-03,8.0638263139e-03
4,SBOA,1,-3.5415824549e-03,1.1049377006e-03,8.1881026104e-03
4,SBOA,2,-3.4713973462e-03,9.7344839022e-04,7.9162430826e-03
4,SBOA,3,-3.5048494073e-03,1.0374698875e-03,8.0471687022e-03
4,SBOA,8,-3.4999011727e-03,1.0257508912e-03,8.0255532366e-03
4,SBOA,9,-3.3983485094e-03,8.5297133788e-04,7.6496683567e-03
4,SBOA,10,-3.5540282818e-03,1.1372679744e-03,8.2453245379e-03
4,SBOA,11,-3.4623040040e-03,9.7520955877e-04,7.8998175667e-03
4,SBOA,12,-3.5756596597e-03,1.1877385637e-03,8.3390578832e-03
4,SBOA,13,-3.5626944311e-03,1.1553455743e-03,8.2807344365e-03
4,SBOA,14,-3.4311125533e-03,9.1812027338e-04,7.7803453801e-03
4,SBOA,15,-3.5380553304e-03,1.0962226656e-03,8.1723333265e-03
4,SBOA,20,-3.5782043641e-03,1.2045696472e-03,8.3609783754e-03
4,SBOA,21,-3.4254402289e-03,9.0133752773e-04,7.7522179854e-03
4,SBOA,22,-3.4816183880e-03,9.7837607953e-04,7.9416128556e-03
4,SBOA,23,-3.5791634489e-03,1.1894212397e-03,8.3477481374e-03
4,SBOA,16,-3.5672030224e-03,1.1637044663e-03,8.2981105112e-03
4,SBOA,17,-3.5059776523e-03,1.0260677654e-03,8.0380230699e-03
4,SBOA,18,-3.4054520683e-03,8.8512083150e-04,7.6960249682e-03
4,SBOA,19,-3.5273443730e-03,1.0777157991e-03,8.1324045452e-03
4,SBOA,24,-3.5924071479e-03,1.2277381681e-03,8.4125524639e-03
4,SBOA,25,-3.5233540727e-03,1.0817482361e-03,8.1284563816e-03
4,SBOA,26,-3.4126134770e-03,8.7602829657e-04,7.7012552506e-03
4,SBOA,27,-3.4934458058e-03,1.0205737708e-03,8.0074653824e-03
5,SBOA,2,-1.3142330820e-03,6.9979419146e-04,3.3282603556e-03
5,SBOA,3,-1.3958470797e-03,7.0503910815e-04,3.4967332676e-03
5,SBOA,4,-1.3678821159e-03,7.0121384189e-04,3.4369780738e-03
5,SBOA,5,-1.3681038357e-03,6.8661565919e-04,3.4228233305e-03
4,SBOA,28,-3.5887620649e-03,1.2103010671e-03,8.3878251968e-03
4,SBOA,29,-3.4998883793e-03,1.0281003240e-03,8.0278770825e-03
5,SBOA,0,-1.3718989957e-03,6.8901361337e-04,3.4328116048e-03
5,SBOA,1,-1.3791502246e-03,7.0255577125e-04,3.4608562205e-03
5,SBOA,6,-1.3535732864e-03,7.0404726700e-04,3.4111938398e-03
5,SBOA,7,-1.3374080958e-03,6.9321874689e-04,3.3680349384e-03
5,SBOA,8,-1.3648145116e-03,7.0553989927e-04,3.4351689225e-03
5,SBOA,9,-1.3684584048e-03,6.9923585756e-04,3.4361526672e-03
5,SBOA,10,-1.3964430320e-03,7.0610008370e-04,3.4989861477e-03
5,SBOA,11,-1.3897248266e-03,7.0367574415e-04,3.4831253973e-03
5,SBOA,12,-1.3557233168e-03,6.7914226631e-04,3.3905888999e-03
5,SBOA,13,-1.3041053473e-03,7.0383516652e-04,3.3120458612e-03
5,SBOA,14,-1.3749192238e-03,6.9920794967e-04,3.4490463972e-03
5,SBOA,15,-1.4104649196e-03,7.1240481368e-04,3.5333346529e-03
5,SBOA,16,-1.3635240794e-03,7.0027787155e-04,3.4273260303e-03
5,SBOA,17,-1.3964095050e-03,7.0474732568e-04,3.4975663356e-03
5,SBOA,22,-1.3609457344e-03,7.1830804934e-04,3.4401995182e-03
5,SBOA,23,-1.3890370602e-03,7.0259504876e-04,3.4806691692e-03
5,SBOA,24,-1.3655379134e-03,6.9349419811e-04,3.4245700249e-03
5,SBOA,25,-1.3380724563e-03,6.8305590527e-04,3.3592008178e-03
1,GWO,0,-3.2988488106e-03,2.4972651395e-03,9.0949627606e-03
1,GWO,1,-3.2983841674e-03,2.4660380977e-03,9.0628064325e-03
1,GWO,2,-3.3015346596e-03,2.4619434667e-03,9.0650127859e-03
1,GWO,3,-3.3019117473e-03,2.4597095375e-03,9.0635330322e-03
1,GWO,4,-3.2936158673e-03,2.4698980795e-03,9.0571298142e-03
1,GWO,5,-3.2731469113e-03,2.8022072753e-03,9.3485010978e-03
1,GWO,6,-3.2953516559e-03,2.4662503349e-03,9.0569536467e-03
1,GWO,7,-3.2969615208e-03,2.4646941258e-03,9.0586171674e-03
1,GWO,8,-3.3015903997e-03,2.4606384350e-03,9.0638192344e-03
1,GWO,9,-3.3019917867e-03,2.4579042406e-03,9.0618878139e-03
1,GWO,10,-3.2994692382e-03,2.4583700080e-03,9.0573084843e-03
1,GWO,11,-3.3037824151e-03,2.4612516524e-03,9.0688164827e-03
5,SBOA,18,-1.3774670372e-03,7.0042949276e-04,3.4553635671e-03
5,SBOA,19,-1.3375623504e-03,7.1124113437e-04,3.3863658352e-03
5,SBOA,20,-1.3731823049e-03,6.9957199842e-04,3.4459366083e-03
5,SBOA,21,-1.3518996969e-03,7.0223968687e-04,3.4060390806e-03
1,GWO,12,-3.3019117477e-03,2.4597094516e-03,9.0635329471e-03
1,GWO,13,-3.3026044315e-03,2.4897497057e-03,9.0949585687e-03
1,GWO,14,-3.3017367525e-03,2.4642644485e-03,9.0677379536e-03
1,GWO,15,-3.3019454782e-03,2.4630434535e-03,9.0669344099e-03
1,GWO,16,-3.3037824321e-03,2.4613350340e-03,9.0688998982e-03
1,GWO,17,-3.3027516685e-03,2.4633114645e-03,9.0688148016e-03
1,GWO,18,-3.3002994652e-03,2.4580546634e-03,9.0586535938e-03
1,GWO,19,-3.2983841548e-03,2.4660182315e-03,9.0627865411e-03
1,GWO,20,-3.2987856175e-03,2.4314064527e-03,9.0289776877e-03
1,GWO,21,-3.3027516687e-03,2.4632787018e-03,9.0687820393e-03
1,GWO,22,-3.3000188049e-03,2.3916158054e-03,8.9916534152e-03
1,GWO,23,-3.2927391460e-03,2.5264687367e-03,9.1119470288e-03
1,GWO,24,-3.2925003652e-03,2.4558838607e-03,9.0408845911e-03
1,GWO,25,-3.3027504325e-03,2.4639299045e-03,9.0694307694e-03
1,GWO,26,-3.3037824323e-03,2.4612290562e-03,9.0687939209e-03
1,GWO,27,-3.3025728846e-03,2.4543029274e-03,9.0594486966e-03
1,GWO,28,-3.3039964987e-03,2.4600125205e-03,9.0680055179e-03
1,GWO,29,-3.3039963319e-03,2.4600264226e-03,9.0680190864e-03
2,GWO,0,-3.6363933032e-03,8.7867930251e-04,8.1514659090e-03
2,GWO,1,-3.9543998459e-03,9.1976999040e-04,8.8285696822e-03
2,GWO,2,-3.9795242736e-03,9.0184863712e-04,8.8608971844e-03
2,GWO,3,-3.9696628969e-03,9.1174198680e-04,8.8510677807e-03
2,GWO,4,-3.9736812741e-03,9.1660058366e-04,8.8639631319e-03
2,GWO,5,-3.9782378404e-03,9.1322607304e-04,8.8697017538e-03
2,GWO,6,-3.9754878190e-03,9.0327178153e-04,8.8542474195e-03
2,GWO,7,-3.9753879433e-03,9.1583040698e-04,8.8666062937e-03
2,GWO,8,-3.9866912440e-03,9.1888499983e-04,8.8922674879e-03
2,GWO,9,-3.9701346428e-03,9.1558831618e-04,8.8558576019e-03
2,GWO,14,-3.9725882327e-03,9.1506038049e-04,8.8602368459e-03
2,GWO,15,-3.6456175899e-03,8.7055306308e-04,8.1617882429e-03
2,GWO,16,-3.9848327240e-03,9.1612180851e-04,8.8857872565e-03
2,GWO,17,-3.9842872283e-03,9.1618630315e-04,8.8847607599e-03
2,GWO,10,-3.9481526728e-03,8.9467874737e-04,8.7909840930e-03
