i,r,T_y,delta_Q,delta_M,eta,a0,entry_prob,d_entry_prob,d_u_rate_y_pp,queue_loss_pct_Y,d_V_entrant,gain_s_N,gain_s_v,gain_tau_q
90,0.035981406576842095,5.890285613872079,0.028149903154510186,0.16704023826225883,0.5726509321513769,21.718676117076754,0.2076326339226729,-0.04574507134442085,0.045011152604551574,2.0915364724084,0.04187229103484369,-0.009672039379882147,0.012559103474041322,0.06295850483633014
91,0.05035013402455997,8.668861608216547,0.023332031271725846,0.1646506982525534,0.5599988642138097,22.25278062485593,0.18416145649968635,-0.05196976964076816,0.02643953467653115,1.8903331411472395,0.03335146631313779,-0.007386076557491794,0.01408717093354106,0.0534614644366993
92,0.05157302592603419,6.812391752607422,0.02273899593349131,0.23577430571086877,0.567593678618127,22.935006981469385,0.18390984627911913,-0.05391262885951753,0.023816622355873895,1.7997560350681192,0.03375220900242981,-0.0072308496783524134,0.012284073577961685,0.052566687070276785
93,0.04553343353961739,8.571938424902951,0.02100270726679511,0.19992678971520597,0.521340134331307,24.10013975531572,0.17237774164441616,-0.05911320750144122,0.044335337947598585,1.953001489741875,0.039799179593412504,-0.007415446937242276,0.014185746388806209,0.056354232598709864
94,0.04400175131870645,8.064190571466316,0.018716961525623833,0.22503204274678604,0.4307187166506742,23.668633185714103,0.167221176771816,-0.060915997362951835,0.05369416670939764,1.8663244010332614,0.03984119614040549,-0.0061324673141793795,0.014284951081067199,0.0571820189236627
95,0.03207195943184065,6.474459042985789,0.011667355835975831,0.13726657526286865,0.43435237312925096,24.33639320926511,0.14682386933808664,-0.07348322308347932,-0.015809674466091272,1.9741820721276828,0.051442478401733105,-0.007693122836316402,0.013122469403881176,0.061472021833641755
96,0.04122276895394884,6.279061874536393,0.0223030034453974,0.21103274136921496,0.41005388562632616,24.18456814317311,0.18035316802909207,-0.05733085161483753,0.04773711925216417,1.8775036211156866,0.04301288109622314,-0.006617501040984131,0.013759547902814084,0.06042092978970626
97,0.0358356098039623,5.1628021304538105,0.020536622561841404,0.18254891496455583,0.5383235249313927,21.710804040221763,0.18297884038141196,-0.053823370477670385,0.021173868752519254,1.9470352552677606,0.04203709161912195,-0.008740520457584111,0.011531657765817549,0.060027227423486984
98,0.0526754964525073,5.957697889704775,0.030759420114016646,0.2285141768957442,0.4129214935980522,22.22783413497361,0.21468332041639746,-0.04439603620078003,0.05914244354964793,1.7542006673323245,0.03225199914816668,-0.005897572579516286,0.013801144200153992,0.056584470348020055
99,0.052159436703366396,6.872561978133226,0.012353811523307726,0.1707412119050794,0.5243563942970946,21.554851504277753,0.15243505671070184,-0.06528738320198368,-0.04306757342668055,1.5980295078159061,0.03127436353748858,-0.005775420553899568,0.01182561703627627,0.04701797161286159
100,0.038443883361200415,6.884438207332685,0.01707313181407634,0.17768379400515744,0.4173132595085808,22.81650998783856,0.16573270283191668,-0.060928440861083066,0.023289287105068834,1.8684629703328341,0.04224837673061632,-0.006582926129206079,0.013627913284186555,0.059134698465435065
101,0.03621501178342109,5.461012942619789,0.02279922691984624,0.22732798251026742,0.5532599071385865,21.61792978520239,0.19041792956559492,-0.05099499315938438,0.03941092095789411,1.9743196084564916,0.04144131420720476,-0.008855152250686338,0.011744286523884817,0.06070572646328376
