study,algo,problem,dim,run,value
weights,MSSBOA,W1 (equal)|DL02,0,1,8.7285522751e-01
weights,MSSBOA,W1 (equal)|DL03,0,1,8.3767177851e-01
weights,MSSBOA,W1 (equal)|DL04,0,1,8.8419463508e-01
weights,MSSBOA,W1 (equal)|DL05,0,1,9.0925921707e-01
weights,MSSBOA,W1 (equal)|DL06,0,1,9.0721365567e-01
weights,MSSBOA,W1 (equal)|DL07,0,1,8.7107688928e-01
weights,MSSBOA,W1 (equal)|DL08,0,1,8.6055089959e-01
weights,MSSBOA,W2 (balance)|DL05,0,1,9.5247696561e-01
weights,MSSBOA,W2 (balance)|DL06,0,1,9.3335031780e-01
weights,MSSBOA,W2 (balance)|DL07,0,1,9.1261295171e-01
weights,MSSBOA,W2 (balance)|DL08,0,1,9.3292236501e-01
weights,MSSBOA,W2 (balance)|DL01,0,1,9.3793524775e-01
weights,MSSBOA,W2 (balance)|DL02,0,1,9.3756103867e-01
weights,MSSBOA,W2 (balance)|DL03,0,1,9.1982263160e-01
weights,MSSBOA,W2 (balance)|DL04,0,1,9.2116420407e-01
weights,MSSBOA,W3 (overlap)|DL01,0,1,9.3936476966e-01
weights,MSSBOA,W3 (overlap)|DL02,0,1,9.0808422721e-01
weights,MSSBOA,W3 (overlap)|DL03,0,1,9.2064112697e-01
weights,MSSBOA,W3 (overlap)|DL04,0,1,9.3504559063e-01
weights,MSSBOA,W3 (overlap)|DL05,0,1,9.5342648139e-01
weights,MSSBOA,W3 (overlap)|DL06,0,1,9.4285227662e-01
weights,MSSBOA,W3 (overlap)|DL07,0,1,9.1326211538e-01
weights,MSSBOA,W3 (overlap)|DL08,0,1,9.2351322740e-01
weights,MSSBOA,W4 (structure)|DL05,0,1,9.2914573730e-01
weights,MSSBOA,W4 (structure)|DL06,0,1,9.4423340009e-01
weights,MSSBOA,W4 (structure)|DL07,0,1,9.0441607681e-01
weights,MSSBOA,W4 (structure)|DL08,0,1,9.1409686400e-01
weights,SBOA,W0 (Ngo)|DL01,0,1,9.1869436764e-01
weights,SBOA,W0 (Ngo)|DL02,0,1,8.9677340631e-01
weights,SBOA,W0 (Ngo)|DL03,0,1,8.6932383516e-01
weights,SBOA,W0 (Ngo)|DL04,0,1,9.1524842235e-01
weights,MSSBOA,W4 (structure)|DL01,0,1,9.1172817272e-01
weights,MSSBOA,W4 (structure)|DL02,0,1,9.1955636781e-01
weights,MSSBOA,W4 (structure)|DL03,0,1,9.0946315067e-01
weights,MSSBOA,W4 (structure)|DL04,0,1,9.2889282000e-01
weights,SBOA,W0 (Ngo)|DL05,0,1,9.2393804545e-01
weights,SBOA,W0 (Ngo)|DL06,0,1,9.3398930841e-01
weights,SBOA,W0 (Ngo)|DL07,0,1,9.1618361654e-01
weights,SBOA,W0 (Ngo)|DL08,0,1,8.9939316748e-01
weights,SBOA,W1 (equal)|DL01,0,1,8.9553333884e-01
weights,SBOA,W1 (equal)|DL02,0,1,8.6778955805e-01
weights,SBOA,W1 (equal)|DL03,0,1,8.4125040424e-01
weights,SBOA,W1 (equal)|DL04,0,1,8.9526785120e-01
weights,SBOA,W1 (equal)|DL05,0,1,9.0353571625e-01
weights,SBOA,W1 (equal)|DL06,0,1,8.8831960477e-01
weights,SBOA,W1 (equal)|DL07,0,1,8.7223519582e-01
weights,SBOA,W1 (equal)|DL08,0,1,8.6585518875e-01
weights,SBOA,W2 (balance)|DL01,0,1,9.3870734671e-01
weights,SBOA,W2 (balance)|DL02,0,1,9.1508737678e-01
weights,SBOA,W2 (balance)|DL03,0,1,9.1947752743e-01
weights,SBOA,W2 (balance)|DL04,0,1,9.3699008198e-01
weights,SBOA,W2 (balance)|DL05,0,1,9.4385051904e-01
weights,SBOA,W2 (balance)|DL06,0,1,9.4562114031e-01
weights,SBOA,W2 (balance)|DL07,0,1,9.3067990626e-01
weights,SBOA,W2 (balance)|DL08,0,1,9.3292628741e-01
weights,SBOA,W3 (overlap)|DL01,0,1,9.4181643450e-01
weights,SBOA,W3 (overlap)|DL02,0,1,9.1557102987e-01
weights,SBOA,W3 (overlap)|DL03,0,1,9.1522414125e-01
weights,SBOA,W3 (overlap)|DL04,0,1,9.3022352856e-01
weights,SBOA,W3 (overlap)|DL05,0,1,9.4955125403e-01
weights,SBOA,W3 (overlap)|DL06,0,1,9.2202036399e-01
weights,SBOA,W3 (overlap)|DL07,0,1,9.2348601745e-01
weights,SBOA,W3 (overlap)|DL08,0,1,9.2351242308e-01
weights,SBOA,W4 (structure)|DL01,0,1,9.2024992521e-01
weights,SBOA,W4 (structure)|DL02,0,1,9.1927405466e-01
weights,SBOA,W4 (structure)|DL03,0,1,9.0946237447e-01
weights,SBOA,W4 (structure)|DL04,0,1,9.2714471868e-01
weights,SBOA,W4 (structure)|DL05,0,1,9.5098192610e-01
weights,SBOA,W4 (structure)|DL06,0,1,9.4996246390e-01
weights,SBOA,W4 (structure)|DL07,0,1,9.2480002721e-01
weights,SBOA,W4 (structure)|DL08,0,1,9.1409684766e-01
weights,RIME,W0 (Ngo)|DL01,0,1,8.7692494320e-01
weights,RIME,W0 (Ngo)|DL02,0,1,7.9183195019e-01
weights,RIME,W0 (Ngo)|DL03,0,1,8.3600717400e-01
weights,RIME,W0 (Ngo)|DL04,0,1,8.6029364657e-01
weights,RIME,W0 (Ngo)|DL05,0,1,8.7120704692e-01
weights,RIME,W0 (Ngo)|DL06,0,1,8.7822329302e-01
weights,RIME,W0 (Ngo)|DL07,0,1,8.7063223992e-01
weights,RIME,W0 (Ngo)|DL08,0,1,8.9100885852e-01
weights,RIME,W1 (equal)|DL01,0,1,8.4002509193e-01
weights,RIME,W1 (equal)|DL02,0,1,8.3077909511e-01
weights,RIME,W1 (equal)|DL03,0,1,8.3830122204e-01
weights,RIME,W1 (equal)|DL04,0,1,8.6524013562e-01
weights,RIME,W1 (equal)|DL05,0,1,8.9258243319e-01
weights,RIME,W1 (equal)|DL06,0,1,8.7474009089e-01
weights,RIME,W1 (equal)|DL07,0,1,8.3659653217e-01
weights,RIME,W1 (equal)|DL08,0,1,8.4323670978e-01
weights,RIME,W2 (balance)|DL01,0,1,8.7597465401e-01
weights,RIME,W2 (balance)|DL02,0,1,8.7306492128e-01
weights,RIME,W2 (balance)|DL03,0,1,8.6695082929e-01
weights,RIME,W2 (balance)|DL04,0,1,8.5490703379e-01
weights,RIME,W2 (balance)|DL05,0,1,8.8300096160e-01
weights,RIME,W2 (balance)|DL06,0,1,8.6466166517e-01
weights,RIME,W2 (balance)|DL07,0,1,8.8664684723e-01
weights,RIME,W2 (balance)|DL08,0,1,8.8806696979e-01
weights,RIME,W3 (overlap)|DL01,0,1,8.6028716473e-01
weights,RIME,W3 (overlap)|DL02,0,1,9.1165761263e-01
weights,RIME,W3 (overlap)|DL03,0,1,8.8009054415e-01
weights,RIME,W3 (overlap)|DL04,0,1,8.6603369813e-01
weights,RIME,W3 (overlap)|DL05,0,1,9.2122796425e-01
weights,RIME,W3 (overlap)|DL06,0,1,9.0394298895e-01
weights,RIME,W3 (overlap)|DL07,0,1,9.1235891358e-01
weights,RIME,W3 (overlap)|DL08,0,1,8.5637833562e-01
weights,RIME,W4 (structure)|DL01,0,1,8.7478082852e-01
weights,RIME,W4 (structure)|DL02,0,1,8.9776997413e-01
weights,RIME,W4 (structure)|DL03,0,1,8.4033246198e-01
weights,RIME,W4 (structure)|DL04,0,1,9.0455109354e-01
weights,RIME,W4 (structure)|DL05,0,1,8.7996905104e-01
weights,RIME,W4 (structure)|DL06,0,1,9.2260226059e-01
weights,RIME,W4 (structure)|DL07,0,1,8.7836931736e-01
weights,RIME,W4 (structure)|DL08,0,1,8.8615301479e-01
weights,LSHADE,W0 (Ngo)|DL01,0,1,9.2057360189e-01
weights,LSHADE,W0 (Ngo)|DL02,0,1,9.0639798249e-01
weights,LSHADE,W0 (Ngo)|DL03,0,1,8.8217817617e-01
weights,LSHADE,W0 (Ngo)|DL04,0,1,9.1589136920e-01
weights,LSHADE,W0 (Ngo)|DL05,0,1,9.3672031382e-01
weights,LSHADE,W0 (Ngo)|DL06,0,1,9.2360643926e-01
weights,LSHADE,W0 (Ngo)|DL07,0,1,9.0936832997e-01
weights,LSHADE,W0 (Ngo)|DL08,0,1,8.9903831687e-01
weights,LSHADE,W1 (equal)|DL01,0,1,8.9540881983e-01
weights,LSHADE,W1 (equal)|DL02,0,1,8.7399116989e-01
weights,LSHADE,W1 (equal)|DL03,0,1,8.4091246926e-01
weights,LSHADE,W1 (equal)|DL04,0,1,9.0124443844e-01
weights,LSHADE,W1 (equal)|DL05,0,1,9.2047878622e-01
weights,LSHADE,W1 (equal)|DL06,0,1,8.9839140649e-01
weights,LSHADE,W1 (equal)|DL07,0,1,8.7587116149e-01
weights,LSHADE,W1 (equal)|DL08,0,1,8.6584959808e-01
weights,LSHADE,W2 (balance)|DL01,0,1,9.4673000606e-01
weights,LSHADE,W2 (balance)|DL02,0,1,9.3525534160e-01
weights,LSHADE,W2 (balance)|DL03,0,1,9.2037087548e-01
weights,LSHADE,W2 (balance)|DL04,0,1,9.3573266235e-01
weights,LSHADE,W2 (balance)|DL05,0,1,9.5584852916e-01
weights,LSHADE,W2 (balance)|DL06,0,1,9.5218057351e-01
weights,LSHADE,W2 (balance)|DL07,0,1,9.4270867258e-01
weights,LSHADE,W2 (balance)|DL08,0,1,9.3284498097e-01
weights,LSHADE,W3 (overlap)|DL01,0,1,9.4177670698e-01
weights,LSHADE,W3 (overlap)|DL02,0,1,9.3053369102e-01
weights,LSHADE,W3 (overlap)|DL03,0,1,9.1521510818e-01
weights,LSHADE,W3 (overlap)|DL04,0,1,9.4015541713e-01
weights,LSHADE,W3 (overlap)|DL05,0,1,9.6017365135e-01
weights,LSHADE,W3 (overlap)|DL06,0,1,9.5228428256e-01
weights,LSHADE,W3 (overlap)|DL07,0,1,9.3268530162e-01
weights,LSHADE,W3 (overlap)|DL08,0,1,9.2349579085e-01
weights,LSHADE,W4 (structure)|DL01,0,1,9.3001398196e-01
weights,LSHADE,W4 (structure)|DL02,0,1,9.2235845549e-01
weights,LSHADE,W4 (structure)|DL03,0,1,9.1422391684e-01
weights,LSHADE,W4 (structure)|DL04,0,1,9.2969760514e-01
weights,LSHADE,W4 (structure)|DL05,0,1,9.6075434772e-01
weights,LSHADE,W4 (structure)|DL06,0,1,9.4373739177e-01
weights,LSHADE,W4 (structure)|DL07,0,1,9.3221340498e-01
weights,LSHADE,W4 (structure)|DL08,0,1,9.1408207021e-01
weights,MSSBOA,W0 (Ngo)|DL01,0,2,9.1383778445e-01
weights,MSSBOA,W0 (Ngo)|DL02,0,2,8.8534048007e-01
weights,MSSBOA,W0 (Ngo)|DL03,0,2,8.7973623476e-01
weights,MSSBOA,W0 (Ngo)|DL04,0,2,9.1240899771e-01
weights,MSSBOA,W0 (Ngo)|DL05,0,2,9.3644808798e-01
weights,MSSBOA,W0 (Ngo)|DL06,0,2,9.2384879225e-01
weights,MSSBOA,W0 (Ngo)|DL07,0,2,9.0975072434e-01
weights,MSSBOA,W0 (Ngo)|DL08,0,2,8.9939173460e-01
weights,MSSBOA,W1 (equal)|DL05,0,2,9.3196091116e-01
weights,MSSBOA,W1 (equal)|DL06,0,2,8.8646354740e-01
weights,MSSBOA,W1 (equal)|DL07,0,2,8.6429616252e-01
weights,MSSBOA,W1 (equal)|DL08,0,2,8.6585733741e-01
weights,MSSBOA,W1 (equal)|DL01,0,2,8.8794866407e-01
weights,MSSBOA,W1 (equal)|DL02,0,2,8.7015886047e-01
weights,MSSBOA,W1 (equal)|DL03,0,2,8.3779985422e-01
weights,MSSBOA,W1 (equal)|DL04,0,2,9.0479546903e-01
weights,MSSBOA,W2 (balance)|DL01,0,2,9.3800536608e-01
