study,algo,func,dim,run,error
variants,MSSBOA,F13,10,12,1.3965953868e+04
variants,MSSBOA,F13,10,13,9.2458833188e+03
variants,MSSBOA,F13,10,18,3.0301488553e+03
variants,MSSBOA,F13,10,19,2.4694924796e+04
variants,MSSBOA,F13,10,20,2.9823640831e+03
variants,MSSBOA,F13,10,21,2.7746946002e+03
variants,MSSBOA,F13,10,14,5.8618491122e+02
variants,MSSBOA,F13,10,15,5.0695627426e+03
variants,MSSBOA,F13,10,16,1.9527748679e+03
variants,MSSBOA,F13,10,17,2.7518077866e+03
variants,MSSBOA,F13,10,22,2.6420460797e+02
variants,MSSBOA,F13,10,23,4.6804871945e+03
variants,MSSBOA,F13,10,24,7.5365785947e+03
variants,MSSBOA,F13,10,25,4.2887715025e+03
variants,MSSBOA,F13,10,26,2.7503548566e+04
variants,MSSBOA,F13,10,27,4.4536368061e+02
variants,MSSBOA,F13,10,28,2.1473945283e+03
variants,MSSBOA,F13,10,29,2.2028852746e+03
variants,MSSBOA,F14,10,0,2.5098553598e+02
variants,MSSBOA,F14,10,1,2.1645145570e+02
variants,MSSBOA,F14,10,2,1.7113040811e+02
variants,MSSBOA,F14,10,3,1.0586245387e+02
variants,MSSBOA,F14,10,4,1.7418252553e+02
variants,MSSBOA,F14,10,5,1.5250436236e+02
variants,MSSBOA,F14,10,6,4.8269504734e+02
variants,MSSBOA,F14,10,7,3.4131953798e+02
variants,MSSBOA,F14,10,8,1.2552637571e+02
variants,MSSBOA,F14,10,9,8.4424104941e+02
variants,MSSBOA,F14,10,10,1.5710404335e+02
variants,MSSBOA,F14,10,11,1.5573064619e+02
variants,MSSBOA,F14,10,12,3.1576785339e+02
variants,MSSBOA,F14,10,13,3.5677094928e+02
variants,MSSBOA,F14,10,14,2.4521422665e+02
variants,MSSBOA,F14,10,15,3.0947950148e+02
variants,MSSBOA,F14,10,20,2.2386859432e+02
variants,MSSBOA,F14,10,21,2.4352535849e+02
variants,MSSBOA,F14,10,22,2.5808902444e+02
variants,MSSBOA,F14,10,23,5.5008922693e+02
variants,MSSBOA,F14,10,16,1.9704968174e+02
variants,MSSBOA,F14,10,17,8.0208965734e+01
variants,MSSBOA,F14,10,18,2.3225509435e+02
variants,MSSBOA,F14,10,19,9.0811584794e+01
variants,MSSBOA,F14,10,24,1.8422265352e+02
variants,MSSBOA,F14,10,25,1.6001139500e+02
variants,MSSBOA,F14,10,26,2.0859419285e+02
variants,MSSBOA,F14,10,27,2.1586581464e+02
variants,MSSBOA,F15,10,6,4.0628331054e+03
variants,MSSBOA,F15,10,7,6.0585824018e+03
variants,MSSBOA,F15,10,8,1.8164253482e+03
variants,MSSBOA,F15,10,9,2.0676613487e+03
variants,MSSBOA,F14,10,28,2.7086862655e+02
variants,MSSBOA,F14,10,29,2.4593725602e+02
variants,MSSBOA,F15,10,0,1.3641057991e+03
variants,MSSBOA,F15,10,1,4.6761443931e+02
variants,MSSBOA,F15,10,2,2.6554623541e+03
variants,MSSBOA,F15,10,3,8.1984164830e+02
variants,MSSBOA,F15,10,4,9.1114992521e+03
variants,MSSBOA,F15,10,5,8.5534361733e+02
variants,MSSBOA,F15,10,10,4.7224562100e+03
variants,MSSBOA,F15,10,11,2.3621444930e+03
variants,MSSBOA,F15,10,12,2.3581861717e+03
variants,MSSBOA,F15,10,13,3.8610565675e+02
variants,MSSBOA,F15,10,22,9.1647015927e+02
variants,MSSBOA,F15,10,23,2.9752748167e+03
variants,MSSBOA,F15,10,24,1.4021240496e+04
variants,MSSBOA,F15,10,25,1.5295326531e+03
variants,MSSBOA,F15,10,14,1.6045555899e+03
variants,MSSBOA,F15,10,15,7.2394133339e+02
variants,MSSBOA,F15,10,16,1.8639476537e+03
variants,MSSBOA,F15,10,17,4.4422500631e+03
variants,MSSBOA,F15,10,18,2.4973916807e+02
variants,MSSBOA,F15,10,19,2.4877573663e+03
variants,MSSBOA,F15,10,20,5.7062862478e+02
variants,MSSBOA,F15,10,21,4.5314378927e+02
variants,MSSBOA,F15,10,26,1.1056785269e+03
variants,MSSBOA,F15,10,27,4.9335229529e+03
variants,MSSBOA,F15,10,28,8.0571249594e+02
variants,MSSBOA,F15,10,29,3.7797579654e+03
variants,MSSBOA,F16,10,4,2.7575593782e+00
variants,MSSBOA,F16,10,5,6.0317289635e+00
variants,MSSBOA,F16,10,6,1.2421589269e+02
variants,MSSBOA,F16,10,7,1.2355181832e+02
variants,MSSBOA,F16,10,0,2.4382235909e+00
variants,MSSBOA,F16,10,1,1.2315367270e+02
variants,MSSBOA,F16,10,2,3.6689673197e+01
variants,MSSBOA,F16,10,3,4.7409123866e+00
variants,MSSBOA,F16,10,8,1.5244593217e+01
variants,MSSBOA,F16,10,9,2.4552764606e+01
variants,MSSBOA,F16,10,10,1.2321499600e+02
variants,MSSBOA,F16,10,11,4.2146786138e+00
variants,MSSBOA,F16,10,12,4.0758811864e+01
variants,MSSBOA,F16,10,13,1.6872782684e+02
variants,MSSBOA,F16,10,14,1.4743861835e+02
variants,MSSBOA,F16,10,15,4.0080572327e+01
variants,MSSBOA,F16,10,16,3.9932397536e+01
variants,MSSBOA,F16,10,17,2.5192081908e+00
variants,MSSBOA,F16,10,18,1.2445089646e+01
variants,MSSBOA,F16,10,19,1.3867827320e+02
variants,MSSBOA,F16,10,20,1.2856256386e+01
variants,MSSBOA,F16,10,21,1.2188068676e+02
variants,MSSBOA,F16,10,22,1.9659998551e+00
variants,MSSBOA,F16,10,23,1.8289888579e+00
variants,MSSBOA,F16,10,24,2.9232444195e+00
variants,MSSBOA,F16,10,25,1.3595064494e+00
variants,MSSBOA,F16,10,26,3.7095061725e+00
variants,MSSBOA,F16,10,27,7.4595242065e+00
variants,MSSBOA,F16,10,28,3.8629222777e+01
variants,MSSBOA,F16,10,29,2.7927974148e+01
variants,MSSBOA,F17,10,0,5.1330704278e+01
variants,MSSBOA,F17,10,1,4.5449795592e+01
variants,MSSBOA,F17,10,2,2.4226241360e+01
variants,MSSBOA,F17,10,3,3.9030490374e+01
variants,MSSBOA,F17,10,4,4.1466868777e+01
variants,MSSBOA,F17,10,5,3.9771604844e+01
variants,MSSBOA,F17,10,6,5.7991053515e+00
variants,MSSBOA,F17,10,7,2.1988309520e+01
variants,MSSBOA,F17,10,8,2.2501985889e+01
variants,MSSBOA,F17,10,9,4.5930118118e+01
variants,MSSBOA,F17,10,10,3.8754696151e+01
variants,MSSBOA,F17,10,11,3.9360675878e+01
