i,err,r,omega,delta_j,delta_s,phi,eta,rho,psi,wedge_mentoring,wedge_throughput,welfare_gap_pct,gain_s_m,gain_s_v,gain_s_w,gain_t_a
77,1.82076576038524e-14,0.03429347831316798,0.023582703094425932,0.21318376418722096,0.0778647825233962,0.1392119415618936,0.5692902258426082,0.40476244315133125,0.3888011869373251,6.606340535754447,0.06287535384514564,1.2292626140176122,0.6497110948396667,0.032315426950546566,-0.18247053933575508,
79,5.1070259132755895e-14,0.04384081955223229,0.02113893059225824,0.23668727534810086,0.10857234804142146,0.23529791805189612,0.5925782950352941,0.3703390885605337,0.2575822367341848,23.386707669528178,0.05268101455682106,1.0848250581157348,0.8574422201542475,0.04948835790115069,-0.38064120269469814,
81,1.7652546091540144e-14,0.04074950030990347,0.030037709729698388,0.18715378056916054,0.09510566694798533,0.16979793490612777,0.4761120380869003,0.5426835463855048,0.2849981226709244,11.063645029075762,0.06824443261716295,1.3588537949701829,0.7404501270447339,0.04357085626720547,-0.15816807669847277,
82,1.976196983832759e-14,0.0514704812322437,0.028232137008640485,0.23811745537959592,0.1099284130459887,0.14226478652908556,0.47448300676031135,0.5170847579916446,0.34575546375523686,11.439281119060519,0.07676369834847763,1.545976454753406,0.9334980381492386,0.06342212871026653,-0.24456194421471622,
84,3.3750779948605327e-14,0.03215738080408453,0.023045526269008822,0.2748549651529606,0.07160568006534905,0.15928175998313132,0.5958577325361302,0.46007615365777993,0.48343382025792836,4.578127895148694,0.06893955803987195,1.3908142046682226,0.6699503653713856,0.031251722261949055,-0.19598071859615596,
86,3.641531520770447e-14,0.05093277063061713,0.021485836375246363,0.20411340263340927,0.06732764918087845,0.25172423491491747,0.5927343972798511,0.5901558744563224,0.39854129729912313,5.622948077154008,0.056691550551700054,1.1998816997691675,0.5945764581358315,0.0303024376550054,-0.1585176864146276,
88,2.8310687127941893e-14,0.0459812009096654,0.030413365375371343,0.18163194393137091,0.08103275266234068,0.1605082057169953,0.5101561993315024,0.5066246399381228,0.452082768348282,5.402258683433229,0.08673434366795973,1.746694775898483,0.7385476627736365,0.05126101596391042,-0.20776381570547509,
90,2.986499936241716e-14,0.05371746981372648,0.025415695551085714,0.2284086769734982,0.09494866203761806,0.23285976415692955,0.4872877162774115,0.6372835307246056,0.33151261824731004,8.698208880985492,0.06347630499205414,1.348746720675309,0.7209350904878953,0.04430656762457463,-0.15537861981500534,
92,5.728750807065972e-14,0.04622708430037646,0.030142995795202552,0.22952214073113,0.09460474821820232,0.20838775182926464,0.511917292647029,0.5259251724877975,0.4067895546139569,7.507588827741182,0.08544517046397226,1.7640885420084684,0.8628458589829746,0.05288473266360505,-0.2198055575295732,
97,1.7097434579227556e-14,0.04142155061577474,0.029277935691436822,0.18651039588079094,0.06956657768657518,0.27828777989116693,0.528845548818223,0.44393195210010244,0.4027865420687272,5.215772806823169,0.07538414436621288,1.6321131681648282,0.5984941614185724,0.03675797481446086,-0.13594572224608914,
98,5.6510351953422065e-14,0.031810440097075045,0.02986863271046674,0.2390373159056126,0.09585978193594197,0.2676378778266022,0.4305652262173364,0.49370470879306516,0.37684437988291725,7.279847588298193,0.07962360336563257,1.781194342111947,0.7670399421115359,0.054056370496380346,-0.1548823384301956,
99,1.9118040484047023e-13,0.044516266594270756,0.024875958564726346,0.1963878537007341,0.09239200124978418,0.15811284855470734,0.5428377683129897,0.5684383147924942,0.42335416414672733,8.282845224496425,0.07405058939234266,1.5067264804177194,0.9197368800994754,0.06380953767566311,-0.33308880029802035,
100,2.6978419498391667e-14,0.050802163952415824,0.022133989060900246,0.18847719365056864,0.08818176889126209,0.17384513691234207,0.440773236014215,0.47835071975645294,0.514135536088759,4.716770314444075,0.06947892707989989,1.5385486525686831,0.8073309768110493,0.08560778537061164,-0.27752291086393654,
101,1.9539925233402566e-14,0.031049498186656376,0.02371807839304067,0.22334151877620734,0.08703399549613325,0.1338824492829606,0.49550296256558557,0.5091923744424562,0.2500177385867703,9.101604685562812,0.04652332778588519,0.8934872048937059,0.5144737221310702,0.02387259257774499,-0.09267933287255836,
102,2.1205259770340714e-14,0.04573075481440392,0.022987676439586394,0.24500104505711234,0.07737309069984469,0.17816515075550338,0.41979843187763655,0.4388486918944044,0.444109231094894,3.7922397402887347,0.06109835107056272,1.3430053287727617,0.4994220449280773,0.041315078357651025,-0.10059675061642182,
103,7.871481244592669e-14,0.03311095494103265,0.024268587086985663,0.19452276184101636,0.09302434543017224,0.10489132776050983,0.5062938176587801,0.43566568551328944,0.428092169677423,7.913913569786004,0.07218515502393719,1.4368678423396064,0.881066969885258,0.06897201045701351,-0.323859418871697,
106,1.1213252548713452e-13,0.04101546184141794,0.03048943051885903,0.21709725666852503,0.06882643515462279,0.17275622864662432,0.5803800955615246,0.4525875973073227,0.43634010339806406,4.897180997670306,0.08281537343345802,1.6278827340525215,0.6236680294420038,0.030380585486944334,-0.1552268726967898,
107,2.5091040356528222e-14,0.035969336388862565,0.02411943071990275,0.1995331651563057,0.10401945422696143,0.2130847776179327,0.4652156678081506,0.6550876316605783,0.3267836087655107,14.753564876025582,0.0659339549679725,1.4237398149272718,0.9711422773197809,0.08259239044134947,-0.3364996094282757,
